category,standard_brand,alias
cordless drills,Ryobi,RYOBI
cordless drills,Ryobi,Ryobi
cordless drills,Ryobi,ryobi
cordless drills,DeWalt,DEWALT
cordless drills,DeWalt,DeWalt
cordless drills,DeWalt,DeWALT
cordless drills,DeWalt,dewalt
cordless drills,Milwaukee,MILWAUKEE
cordless drills,Milwaukee,Milwaukee
cordless drills,Milwaukee,milwaukee
cordless drills,Black+Decker,BLACK+DECKER
cordless drills,Black+Decker,Black+Decker
cordless drills,Black+Decker,Black and Decker
cordless drills,Black+Decker,Black & Decker
cordless drills,Festool,FESTOOL
cordless drills,Festool,Festool
cordless drills,Festool,festool
cordless drills,Hilti,HILTI
cordless drills,Hilti,Hilti
cordless drills,Hilti,hilti
cordless drills,Makita,MAKITA
cordless drills,Makita,Makita
cordless drills,Makita,makita
car battery,DieHard,DIEHARD
car battery,DieHard,DieHard
car battery,DieHard,diehard
car battery,AC Delco,A C Delco
car battery,AC Delco,AC DELCO
car battery,AC Delco,AC Delco
car battery,AC Delco,ACDelco
car battery,AC Delco,a c delco
car battery,AC Delco,ac delco
car battery,AC Delco,acdelco
car battery,EverStart,EVERSTART
car battery,EverStart,EverStart
car battery,EverStart,everstart
car battery,Antigravity,ANTIGRAVITY
car battery,Antigravity,Antigravity
car battery,Antigravity,antigravity
car battery,XS Power,XS POWER
car battery,XS Power,XS Power
car battery,XS Power,XSPower
car battery,XS Power,xs power
car battery,Odyssey,ODYSSEY
car battery,Odyssey,Odyssey
car battery,Odyssey,odyssey
laptop,Apple,APPLE
laptop,Apple,Apple
laptop,Apple,Mac
laptop,Apple,MacBook
laptop,Apple,apple
laptop,Apple,mac
laptop,Apple,macbook
laptop,Dell,DELL
laptop,Dell,Dell
laptop,Dell,dell
laptop,HP,HP
laptop,HP,Hewlett Packard
laptop,HP,Hewlett-Packard
laptop,HP,hp
laptop,Framework,FRAMEWORK
laptop,Framework,Framework
laptop,Framework,Framework Laptop
laptop,Framework,framework
laptop,Framework,framework laptop
laptop,System76,SYSTEM76
laptop,System76,System76
laptop,System76,System 76
laptop,System76,system76
laptop,System76,system 76
laptop,Razer,RAZER
laptop,Razer,Razer
laptop,Razer,razer
digital camera,Canon,CANON
digital camera,Canon,Canon
digital camera,Canon,canon
digital camera,Nikon,NIKON
digital camera,Nikon,Nikon
digital camera,Nikon,nikon
digital camera,Sony,SONY
digital camera,Sony,Sony
digital camera,Sony,sony
digital camera,Fujifilm,FUJIFILM
digital camera,Fujifilm,Fuji
digital camera,Fujifilm,Fujifilm
digital camera,Fujifilm,fuji
digital camera,Fujifilm,fujifilm
digital camera,Leica,LEICA
digital camera,Leica,Leica
digital camera,Leica,leica
digital camera,Ricoh,RICOH
digital camera,Ricoh,Ricoh
digital camera,Ricoh,ricoh
hiking jacket,Patagonia,PATAGONIA
hiking jacket,Patagonia,Patagonia
hiking jacket,Patagonia,patagonia
hiking jacket,The North Face,North Face
hiking jacket,The North Face,THE NORTH FACE
hiking jacket,The North Face,TNF
hiking jacket,The North Face,The North Face
hiking jacket,The North Face,TheNorthFace
hiking jacket,The North Face,north face
hiking jacket,The North Face,the north face
hiking jacket,The North Face,tnf
hiking jacket,Columbia,COLUMBIA
hiking jacket,Columbia,Columbia
hiking jacket,Columbia,columbia
hiking jacket,Outdoor Research,OR
hiking jacket,Outdoor Research,OUTDOOR RESEARCH
hiking jacket,Outdoor Research,Outdoor Research
hiking jacket,Outdoor Research,OutdoorResearch
hiking jacket,Outdoor Research,or
hiking jacket,Outdoor Research,outdoor research
hiking jacket,KÜHL,KUHL
hiking jacket,KÜHL,KÜHL
hiking jacket,KÜHL,kuhl
hiking jacket,KÜHL,kühl
hiking jacket,Rab,RAB
hiking jacket,Rab,Rab
hiking jacket,Rab,rab
weight loss pills,Alli,ALLI
weight loss pills,Alli,Alli
weight loss pills,Alli,alli
weight loss pills,Hydroxycut,HYDROXYCUT
weight loss pills,Hydroxycut,Hydroxycut
weight loss pills,Hydroxycut,hydroxycut
weight loss pills,Leanbean,LEANBEAN
weight loss pills,Leanbean,Leanbean
weight loss pills,Leanbean,LeanBean
weight loss pills,Leanbean,leanbean
weight loss pills,PhenQ,PHENQ
weight loss pills,PhenQ,PhenQ
weight loss pills,PhenQ,phenq
weight loss pills,Zotrim,ZOTRIM
weight loss pills,Zotrim,Zotrim
weight loss pills,Zotrim,zotrim
weight loss pills,Trimtone,TRIMTONE
