category,sub_category,brand,visibility_group
power tool,cordless drills,Ryobi,high_visibility
power tool,cordless drills,DeWalt,high_visibility
power tool,cordless drills,Milwaukee,high_visibility
power tool,cordless drills,Festool,niche
power tool,cordless drills,Hilti,niche
power tool,cordless drills,Makita,niche
camping/hiking,hiking jacket,Patagonia,high_visibility
camping/hiking,hiking jacket,The North Face,high_visibility
camping/hiking,hiking jacket,Columbia,high_visibility
camping/hiking,hiking jacket,Outdoor Research,niche
camping/hiking,hiking jacket,KÜHL,niche
camping/hiking,hiking jacket,Rab,niche
home appliances,coffee maker,Keurig,high_visibility
home appliances,coffee maker,Cuisinart,high_visibility
home appliances,coffee maker,Ninja,high_visibility
home appliances,coffee maker,Technivorm,niche
home appliances,coffee maker,Bonavita,niche
home appliances,coffee maker,OXO,niche
pet food,cat food,Purina,high_visibility
pet food,cat food,Friskies,high_visibility
pet food,cat food,Fancy Feast,high_visibility
pet food,cat food,Tiki Cat,niche
pet food,cat food,Weruva,niche
pet food,cat food,Instinct,niche
cruising,boat cruises,Carnival,high_visibility
cruising,boat cruises,Royal Caribbean,high_visibility
cruising,boat cruises,Norwegian Cruise Line,high_visibility
cruising,boat cruises,Viking,niche
cruising,boat cruises,Oceania Cruises,niche
cruising,boat cruises,Windstar Cruises,niche
