category,Brand,Brandwatch Mentions 12mo (sampled est.)
Boat Cruise,AmaWaterways,15000
Boat Cruise,American Cruise Lines,11000
Boat Cruise,Avalon Waterways,4320
Boat Cruise,Carnival,570000
Boat Cruise,Celebrity Cruises,109000
Boat Cruise,City Cruises,9960
Boat Cruise,City Cruises by Hornblower,
Boat Cruise,CroisiEurope,2200
Boat Cruise,Disney Cruise Line,117000
Boat Cruise,Holland America Line,47000
Boat Cruise,MSC Cruises,95000
Boat Cruise,NCL,126000
Boat Cruise,Princess (Cruises),78000
Boat Cruise,Royal Caribbean,236000
Boat Cruise,Uniworld Boutique River Cruises,9840
Boat Cruise,Viking (Cruising),101000
Boat Cruise,Costa (Cruises),133000
Boat Cruise,Crystal (Cruising),138000
Boat Cruise,Cunard,43000
Boat Cruise,Oceania Cruises,38000
Boat Cruise,Regent Seven Seas Cruises,24000
Boat Cruise,Seabourn,35000
Boat Cruise,Silversea,43000
Boat Cruise,Virgin Voyages,43000
Boat Cruise,Windstar,18000
Cat Food,Blue Buffalo,12000
Cat Food,Fancy Feast,25000
Cat Food,Friskies,18000
Cat Food,Hill's,3400
Cat Food,IAMS,7580
Cat Food,Merrick,3320
Cat Food,Orijen,4940
Cat Food,Purina,70000
Cat Food,Royal Canin,41000
Cat Food,Taste of the Wild,1660
Cat Food,Wellness,62000
Cat Food,Wellness CORE,920
Cat Food,Wellness Complete Health,900
Cat Food,9 Lives,2020
Cat Food,Acana,3700
Cat Food,Cat Chow,2680
Cat Food,Freshpet,3940
Cat Food,Meow Mix,7180
Cat Food,Nutrish,1740
Cat Food,Nutro,1600
Cat Food,Purina One,18000
Cat Food,Purina Pro Plan,11000
Cat Food,Sheba,9240
Cat Food,Whiskas,12000
Cat Food,Ziwi Peak,1260
Coffee Maker,Bonavita,1380
Coffee Maker,Breville,63000
Coffee Maker,Bunn,6720
Coffee Maker,Cuisinart,18000
Coffee Maker,DeLonghi,24000
Coffee Maker,Hamilton Beach,7260
Coffee Maker,Keurig,109000
Coffee Maker,Mr. Coffee,21000
Coffee Maker,Nespresso,171000
Coffee Maker,Ninja,106000
Coffee Maker,OXO,14000
Coffee Maker,Technivorm,3300
Coffee Maker,Bella,86000
Coffee Maker,Black+Decker,4820
Coffee Maker,Braun,19000
Coffee Maker,Brentwood,10000
Coffee Maker,Capresso,1080
Coffee Maker,Jura,17000
Coffee Maker,KitchenAid,23000
Coffee Maker,Nescafe,107000
Coffee Maker,Philips,41000
Cordless Drills,Black+Decker,16000
Cordless Drills,Bosch,143000
Cordless Drills,Craftsman,84000
Cordless Drills,Dewalt,101000
Cordless Drills,Makita,56000
Cordless Drills,Milwaukee,155000
Cordless Drills,Ryobi,44000
Cordless Drills,Festool,6700
Cordless Drills,Hilti,11000
Cordless Drills,Kobalt,8960
Cordless Drills,Metabo HPT,2600
Cordless Drills,Ridgid,7900
Cordless Drills,Skil,5340
Cordless Drills,Worx,10000
Hiking Jacket,Arc'teryx,21000
Hiking Jacket,Black Diamond,18000
Hiking Jacket,Columbia,296000
Hiking Jacket,Mammut,12000
Hiking Jacket,Marmot,36000
Hiking Jacket,Montane,6600
Hiking Jacket,Mountain Hardwear,6220
Hiking Jacket,Outdoor Research,13000
Hiking Jacket,Patagonia,87000
Hiking Jacket,REI Co-op,12000
Hiking Jacket,Rab,11000
Hiking Jacket,The North Face,82000
Hiking Jacket,Eddie Bauer,17000
Hiking Jacket,Jack Wolfskin,5260
Hiking Jacket,Kathmandu,12000
Hiking Jacket,KÜHL,10000
Hiking Jacket,L.L.Bean,13000
Hiking Jacket,Mountain Equipment,2400
Hiking Jacket,icebreaker,11000
