sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
cordless drills,gpt-5.5,Black+Decker,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.5,Bosch,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cordless drills,gpt-5.5,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,gpt-5.5,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.5,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.5,Makita,40,40,0.0000,1.0000,1.0000,0.4333,context-free
cordless drills,gpt-5.5,Milwaukee,40,40,0.0000,1.0000,1.0000,0.4000,context-free
cordless drills,gpt-5.5,Ryobi,40,40,0.0000,0.0000,1.0000,0.2000,context-free
cordless drills,gpt-5.4-mini,Black+Decker,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.4-mini,Bosch,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cordless drills,gpt-5.4-mini,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,gpt-5.4-mini,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.4-mini,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gpt-5.4-mini,Makita,40,40,0.0000,1.0000,1.0000,0.4875,context-free
cordless drills,gpt-5.4-mini,Milwaukee,40,40,0.0000,1.0000,1.0000,0.3458,context-free
cordless drills,gpt-5.4-mini,Ryobi,40,40,0.0000,0.0000,1.0000,0.2000,context-free
cordless drills,gemini-3.1-pro-preview,Black+Decker,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-3.1-pro-preview,Bosch,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cordless drills,gemini-3.1-pro-preview,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,gemini-3.1-pro-preview,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-3.1-pro-preview,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-3.1-pro-preview,Makita,40,40,0.0000,1.0000,1.0000,0.5000,context-free
cordless drills,gemini-3.1-pro-preview,Milwaukee,40,40,0.0000,1.0000,1.0000,0.3333,context-free
cordless drills,gemini-3.1-pro-preview,Ryobi,40,40,0.0000,0.0000,1.0000,0.2000,context-free
cordless drills,gemini-2.5-flash,Black+Decker,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-2.5-flash,Bosch,40,40,0.0000,0.0000,1.0000,0.2063,context-free
cordless drills,gemini-2.5-flash,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,gemini-2.5-flash,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-2.5-flash,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,gemini-2.5-flash,Makita,40,40,0.0000,0.5250,1.0000,0.3133,context-free
cordless drills,gemini-2.5-flash,Milwaukee,40,40,0.0000,1.0000,1.0000,0.4792,context-free
cordless drills,gemini-2.5-flash,Ryobi,40,40,0.0000,0.4750,1.0000,0.2846,context-free
cordless drills,claude-opus-4-7,Black+Decker,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,claude-opus-4-7,Bosch,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cordless drills,claude-opus-4-7,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,claude-opus-4-7,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,claude-opus-4-7,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,claude-opus-4-7,Makita,40,40,0.0000,1.0000,1.0000,0.3333,context-free
cordless drills,claude-opus-4-7,Milwaukee,40,40,0.0000,1.0000,1.0000,0.5000,context-free
cordless drills,claude-opus-4-7,Ryobi,40,40,0.0000,0.0000,1.0000,0.2000,context-free
cordless drills,claude-sonnet-4-6,Black+Decker,1,40,0.0000,0.0000,0.0250,0.0050,context-free
cordless drills,claude-sonnet-4-6,Bosch,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cordless drills,claude-sonnet-4-6,DeWalt,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cordless drills,claude-sonnet-4-6,Festool,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,claude-sonnet-4-6,Hilti,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cordless drills,claude-sonnet-4-6,Makita,40,40,0.0000,1.0000,1.0000,0.3333,context-free
cordless drills,claude-sonnet-4-6,Milwaukee,40,40,0.0000,1.0000,1.0000,0.5000,context-free
cordless drills,claude-sonnet-4-6,Ryobi,39,40,0.0000,0.0000,0.9750,0.1950,context-free
hiking jacket,gpt-5.5,Arc'teryx,40,40,0.4750,1.0000,1.0000,0.7250,context-free
hiking jacket,gpt-5.5,Black Diamond,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.5,Columbia,8,40,0.0000,0.0000,0.2000,0.0475,context-free
hiking jacket,gpt-5.5,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.5,Mammut,6,40,0.0000,0.0000,0.1500,0.0325,context-free
hiking jacket,gpt-5.5,Marmot,33,40,0.0000,0.0000,0.8250,0.1950,context-free
hiking jacket,gpt-5.5,Montane,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.5,Outdoor Research,33,40,0.0000,0.0000,0.8250,0.1750,context-free
hiking jacket,gpt-5.5,Patagonia,40,40,0.5250,1.0000,1.0000,0.7625,context-free
hiking jacket,gpt-5.5,Rab,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.5,The North Face,40,40,0.0000,1.0000,1.0000,0.3458,context-free
hiking jacket,gpt-5.4-mini,Arc'teryx,40,40,0.0250,1.0000,1.0000,0.4583,context-free
hiking jacket,gpt-5.4-mini,Black Diamond,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.4-mini,Columbia,39,40,0.0000,0.0000,0.9750,0.2150,context-free
hiking jacket,gpt-5.4-mini,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.4-mini,Mammut,7,40,0.0000,0.0000,0.1750,0.0425,context-free
hiking jacket,gpt-5.4-mini,Marmot,33,40,0.0000,0.0000,0.8250,0.1875,context-free
hiking jacket,gpt-5.4-mini,Montane,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.4-mini,Outdoor Research,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gpt-5.4-mini,Patagonia,40,40,0.7750,1.0000,1.0000,0.8875,context-free
hiking jacket,gpt-5.4-mini,Rab,1,40,0.0000,0.0000,0.0250,0.0050,context-free
hiking jacket,gpt-5.4-mini,The North Face,40,40,0.2000,1.0000,1.0000,0.4875,context-free
hiking jacket,gemini-3.1-pro-preview,Arc'teryx,40,40,0.0250,1.0000,1.0000,0.4833,context-free
hiking jacket,gemini-3.1-pro-preview,Black Diamond,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,Columbia,40,40,0.0000,0.0000,1.0000,0.2487,context-free
hiking jacket,gemini-3.1-pro-preview,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,Mammut,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,Marmot,40,40,0.0000,0.0000,1.0000,0.2013,context-free
hiking jacket,gemini-3.1-pro-preview,Montane,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,Outdoor Research,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,Patagonia,40,40,0.9750,1.0000,1.0000,0.9875,context-free
hiking jacket,gemini-3.1-pro-preview,Rab,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-3.1-pro-preview,The North Face,40,40,0.0000,1.0000,1.0000,0.3625,context-free
hiking jacket,gemini-2.5-flash,Arc'teryx,40,40,0.9000,1.0000,1.0000,0.9458,context-free
hiking jacket,gemini-2.5-flash,Black Diamond,6,40,0.0000,0.0000,0.1500,0.0375,context-free
hiking jacket,gemini-2.5-flash,Columbia,7,40,0.0000,0.0000,0.1750,0.0400,context-free
hiking jacket,gemini-2.5-flash,KUHL,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,gemini-2.5-flash,Mammut,14,40,0.0000,0.0000,0.3500,0.0750,context-free
hiking jacket,gemini-2.5-flash,Marmot,5,40,0.0000,0.0000,0.1250,0.0287,context-free
hiking jacket,gemini-2.5-flash,Montane,1,40,0.0000,0.0000,0.0250,0.0050,context-free
hiking jacket,gemini-2.5-flash,Outdoor Research,39,40,0.0000,0.2000,0.9750,0.2492,context-free
hiking jacket,gemini-2.5-flash,Patagonia,40,40,0.1000,1.0000,1.0000,0.5500,context-free
hiking jacket,gemini-2.5-flash,Rab,15,40,0.0000,0.0000,0.3750,0.0750,context-free
hiking jacket,gemini-2.5-flash,The North Face,33,40,0.0000,0.8000,0.8250,0.2771,context-free
hiking jacket,claude-opus-4-7,Arc'teryx,40,40,0.8250,1.0000,1.0000,0.9125,context-free
hiking jacket,claude-opus-4-7,Black Diamond,0,40,0.0000,0.0000,0.0000,0.0000,context-free
hiking jacket,claude-opus-4-7,Columbia,40,40,0.0000,0.0000,1.0000,0.2500,context-free
