sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
cordless drills,gpt-5.5,Amazon Basics,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Avid Power,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Bauer,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Black+Decker,14,40,0.1750,0.2750,0.3500,0.2413,needs-based-general
cordless drills,gpt-5.5,Bosch,28,40,0.0000,0.1500,0.7000,0.1933,needs-based-general
cordless drills,gpt-5.5,Craftsman,6,40,0.0000,0.0750,0.1500,0.0412,needs-based-general
cordless drills,gpt-5.5,DeWalt,31,40,0.6750,0.7500,0.7750,0.7104,needs-based-general
cordless drills,gpt-5.5,Festool,1,40,0.0000,0.0000,0.0250,0.0063,needs-based-general
cordless drills,gpt-5.5,FLEX,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Genesis,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,HART,3,40,0.0000,0.0000,0.0750,0.0175,needs-based-general
cordless drills,gpt-5.5,Hercules,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Hilti,2,40,0.0000,0.0250,0.0500,0.0175,needs-based-general
cordless drills,gpt-5.5,Husky,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,HYCHIKA,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Hyper Tough,1,40,0.0000,0.0000,0.0250,0.0063,needs-based-general
cordless drills,gpt-5.5,IKEA,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Klein Tools,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Kobalt,2,40,0.0000,0.0500,0.0500,0.0250,needs-based-general
cordless drills,gpt-5.5,Makita,30,40,0.0000,0.5500,0.7500,0.2683,needs-based-general
cordless drills,gpt-5.5,Masterforce,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Matco Tools,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Metabo HPT,4,40,0.0000,0.0000,0.1000,0.0200,needs-based-general
cordless drills,gpt-5.5,Milwaukee,26,40,0.0000,0.6000,0.6500,0.2767,needs-based-general
cordless drills,gpt-5.5,Porter-Cable,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Ridgid,7,40,0.0500,0.0500,0.1750,0.0750,needs-based-general
cordless drills,gpt-5.5,Ryobi,28,40,0.1000,0.3000,0.7000,0.2671,needs-based-general
cordless drills,gpt-5.5,SKIL,9,40,0.0000,0.1500,0.2250,0.0692,needs-based-general
cordless drills,gpt-5.5,Snap-on,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Tacklife,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,Warrior,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
cordless drills,gpt-5.5,WEN,5,40,0.0000,0.0250,0.1250,0.0308,needs-based-general
cordless drills,gpt-5.5,WORKPRO,0,40,0.0000,0.0000,0.0000,0.0000,needs-based-general
